v_lr,p_lr,pca_features,tfidf_max_features,n_training_steps,update_only_last,batch_mean,rouge-1-train,rouge-2-train,rouge-l-train,mean-train,rouge-1-test,rouge-2-test,rouge-l-test,mean-test,time_taken
0.2,0.5,250,2000,500,True,True,0.358481568736,0.141025200702,0.261728175564,0.253744981667,0.410369265445,0.176334935885,0.289119015078,0.291941072136,179.4479
0.2,0.5,250,2000,500,False,True,0.354250050574,0.139682531222,0.256326829825,0.25008647054,0.404802795139,0.170180591156,0.283829331644,0.286270905979,208.1308
0.2,0.5,500,2000,500,True,True,0.359198302468,0.143039085041,0.259253849848,0.253830412453,0.398222289398,0.166283308046,0.283794387557,0.282766661667,227.5787
0.2,0.5,500,2000,500,False,True,0.355857054507,0.141086844801,0.258451329065,0.251798409458,0.398376597165,0.164548720795,0.28479041223,0.282571910063,248.1321
0.2,0.5,750,2000,500,True,True,0.358097446834,0.143041310395,0.26201760379,0.254385453673,0.389322697322,0.162328771066,0.281122265368,0.277591244586,264.9714
0.2,0.5,750,2000,500,False,True,0.360982241996,0.146359636295,0.263280306254,0.256874061515,0.394691399249,0.16440022257,0.280430897912,0.27984083991,325.2536
0.25,0.1,250,2000,500,True,True,0.350766895948,0.137486176124,0.26046322331,0.249572098461,0.38418814322,0.155804210661,0.264076289092,0.268022880991,196.3960
0.25,0.1,250,2000,500,False,True,0.361411167094,0.146268980174,0.265408950908,0.257696366059,0.396883537124,0.166842114817,0.27779179663,0.28050581619,218.5891
0.25,0.1,500,2000,500,True,True,0.364326469545,0.149647267771,0.268161151694,0.26071162967,0.37440328741,0.155664255028,0.266459081597,0.265508874678,225.5507
0.25,0.1,500,2000,500,False,True,0.365950585491,0.147499626551,0.266834173048,0.26009479503,0.394470336978,0.164019802989,0.280166042591,0.279552060853,272.1911
0.4,0.35,750,2000,500,True,True,0.365249444593,0.14567361992,0.267333608323,0.259418890945,0.394090115414,0.157697173035,0.276330884992,0.276039391147,281.7158
0.4,0.35,750,2000,500,False,True,0.360879131566,0.144035020595,0.261305175577,0.255406442579,0.404462621613,0.1687500985,0.290809685791,0.288007468635,334.2326
0.4,0.4,250,2000,500,True,True,0.3546720086,0.139080785652,0.257917395573,0.250556729942,0.39683590392,0.164487622251,0.280128141766,0.280483889312,205.1636
0.4,0.4,250,2000,500,False,True,0.3533098298,0.140562260956,0.258467910888,0.250780000548,0.408347313966,0.17424681328,0.289529806169,0.290707977805,242.4359
0.4,0.4,500,2000,500,True,True,0.346574653069,0.132611518862,0.253149440734,0.244111870888,0.366943845434,0.147398184885,0.262138160742,0.258826730354,240.6314
0.4,0.4,500,2000,500,False,True,0.359814304638,0.141704277644,0.260693351615,0.254070644632,0.399275274894,0.164000863595,0.284060628397,0.282445588962,270.2228
0.4,0.4,750,2000,500,True,True,0.35747499833,0.144098649651,0.262821273777,0.254798307253,0.382403839896,0.154966821011,0.270787217597,0.269385959501,275.6860
0.4,0.4,750,2000,500,False,True,0.364808417309,0.147612745129,0.268597143403,0.26033943528,0.40670899883,0.170106132281,0.287543372505,0.288119501205,315.6295
0.4,0.45,250,2000,500,True,True,0.360464596543,0.145114736007,0.264281707474,0.256620346675,0.403610459377,0.166514733865,0.282195399478,0.28410686424,205.3712
0.4,0.45,250,2000,500,False,True,0.352298641236,0.13902243269,0.257499838325,0.24960697075,0.409758973826,0.174036251782,0.294046208884,0.292613811497,228.9602
0.45,0.4,500,2000,500,True,True,0.362509515992,0.144432166616,0.2640649075,0.257002196703,0.399187545476,0.16429479547,0.284367793182,0.282616711376,254.8655
0.45,0.4,500,2000,500,False,True,0.365259609567,0.145539518345,0.265120249344,0.258639792419,0.412029215301,0.174375832409,0.295089253174,0.293831433628,261.0643
0.45,0.4,750,2000,500,True,True,0.354457658492,0.142860513866,0.257512549285,0.251610240547,0.384901586632,0.163209622592,0.281008655552,0.276373288259,282.6541
0.45,0.4,750,2000,500,False,True,0.355408284644,0.141725708708,0.25786386074,0.251665951364,0.391752028977,0.161992691375,0.283848203918,0.279197641423,269.1675
0.05,0.25,250,2000,500,True,True,0.352383074446,0.139568026063,0.25594467,0.24929859017,0.400955025279,0.172197593761,0.281299216062,0.284817278367,186.1476
0.05,0.25,250,2000,500,False,True,0.362330437129,0.144166076567,0.262529150343,0.256341888013,0.404336148242,0.166237292787,0.281225865881,0.283933102304,204.7989
0.05,0.25,500,2000,500,True,True,0.358467252141,0.143838428014,0.260302102426,0.254202594194,0.389902530711,0.162617691375,0.279677387727,0.277399203271,232.2433
0.05,0.25,500,2000,500,False,True,0.361704692412,0.146202713066,0.264321917925,0.257409774468,0.39412271851,0.16190697709,0.279454939968,0.278494878523,255.2843
0.05,0.25,750,2000,500,True,True,0.362516129877,0.146029080019,0.26203636143,0.256860523775,0.388180361561,0.157931508114,0.272182340019,0.272764736565,273.7734
0.05,0.25,750,2000,500,False,True,0.362262254458,0.14572668078,0.26376463683,0.257251190689,0.403931147629,0.166180867731,0.284271224253,0.284794413204,325.0949
0.05,0.3,250,2000,500,True,True,0.349294101646,0.136926400085,0.257152162625,0.247790888119,0.372182914088,0.146011287081,0.258420776963,0.258871659378,190.5184
0.05,0.3,250,2000,500,False,True,0.353310016691,0.138862024741,0.25723041534,0.249800818924,0.408711789848,0.173186083432,0.290908192568,0.290935355282,204.7520
0.05,0.3,500,2000,500,True,True,0.362048473494,0.14452527196,0.261912080755,0.25616194207,0.403762683967,0.17440044815,0.289629908325,0.289264346814,228.1110
0.05,0.3,500,2000,500,False,True,0.361669374154,0.144741590526,0.265664943704,0.257358636128,0.405440089229,0.166750832409,0.288421364611,0.286870762083,259.1808
0.4,0.25,500,2000,500,True,True,0.357408427824,0.141841329318,0.259268634117,0.252839463753,0.410286832524,0.175863719521,0.294762401025,0.293637651023,239.8438
0.4,0.25,500,2000,500,False,True,0.361711203452,0.14326990005,0.26197424089,0.255651781464,0.405657976317,0.171266596817,0.288270578033,0.288398383722,289.1433
0.4,0.25,750,2000,500,True,True,0.36023698831,0.145724768613,0.258852336628,0.254938031184,0.408497869152,0.172745137883,0.288142917374,0.289795308137,273.2625
0.4,0.25,750,2000,500,False,True,0.367728692704,0.14790047568,0.267153933815,0.260927700733,0.40731974364,0.16979632836,0.286439170226,0.287851747408,273.1136
0.3,0.2,250,2000,500,True,True,0.35590965504,0.139140598596,0.260663312969,0.251904522202,0.404363797483,0.17174681328,0.289310312287,0.288473641016,181.3750
0.3,0.2,250,2000,500,False,True,0.363749524594,0.144682760198,0.26614246248,0.258191582424,0.40603551669,0.172573175423,0.288715007322,0.289107899812,202.0279
0.3,0.2,500,2000,500,True,True,0.363770070193,0.145843994563,0.266199195237,0.258604419998,0.398179156023,0.162759826884,0.283053439557,0.281330807488,229.0078
0.3,0.2,500,2000,500,False,True,0.364173485151,0.146900708339,0.266680147759,0.259251447083,0.414961197333,0.175535897886,0.291587792301,0.29402829584,251.8695
0.3,0.2,750,2000,500,True,True,0.352875120606,0.136478493028,0.258681371313,0.249344994982,0.371003359941,0.151654098736,0.262756216728,0.261804558469,261.8021
0.3,0.2,750,2000,500,False,True,0.362247782464,0.145381915727,0.264590400315,0.257406699502,0.402967891788,0.167388920952,0.285915625252,0.285424145998,316.7249
0.3,0.25,250,2000,500,True,True,0.360433376458,0.145211788072,0.264325263221,0.25665680925,0.389815255789,0.165565536004,0.276290990734,0.277223927509,190.5740
0.3,0.25,250,2000,500,False,True,0.362363710649,0.14639519253,0.264236891188,0.257665264789,0.406987478011,0.175981400531,0.288055366393,0.290341414979,203.5377
0.3,0.25,500,2000,500,True,True,0.361469352957,0.144395496993,0.264735308718,0.256866719556,0.39313400003,0.161215855468,0.276098006487,0.276815953995,227.9554
0.3,0.25,500,2000,500,False,True,0.3599573009,0.144214797548,0.261638189111,0.255270095853,0.398338203583,0.16503553621,0.282267372307,0.2818803707,274.0185
0.45,0.1,750,2000,500,True,True,0.365695508583,0.145866478397,0.266235430706,0.259265805895,0.401171312365,0.16266189172,0.281348115311,0.281727106465,276.1602
0.45,0.1,750,2000,500,False,True,0.351130638157,0.141471699879,0.254549034551,0.249050457529,0.373771092321,0.155098415281,0.266822050706,0.265230519436,324.8777
0.45,0.15,250,2000,500,True,True,0.360180899835,0.145983981098,0.259441525611,0.255202135515,0.370369192463,0.154139874633,0.264120842766,0.262876636621,215.5292
0.45,0.15,250,2000,500,False,True,0.360006559272,0.142879963488,0.261433840874,0.254773454544,0.410084188203,0.173557158107,0.290365886755,0.291335744355,207.1952
0.45,0.15,500,2000,500,True,True,0.362379556812,0.145362171628,0.262778400421,0.256840042954,0.401483638051,0.166315547865,0.281544387557,0.283114524491,236.6636
